Ngành,Trường,Mã trường,Năm,Chỉ tiêu THPT (Ước tính),market_trend
logistics và quản lý chuỗi cung ứng,Đại học Giao thông Vận tải TP.HCM,GTV,2022,98-119,0.82
logistics và quản lý chuỗi cung ứng,Đại học Giao thông Vận tải TP.HCM,GTV,2023,111-136,0.82
logistics và quản lý chuỗi cung ứng,Đại học Giao thông Vận tải TP.HCM,GTV,2024,113-138,0.83
logistics và quản lý chuỗi cung ứng,Đại học Giao thông Vận tải TP.HCM,GTV,2025,100-123,0.84
logistics và quản lý chuỗi cung ứng,Đại học Mở TP.HCM,OUM,2020,102-125,0.8
logistics và quản lý chuỗi cung ứng,Đại học Mở TP.HCM,OUM,2021,124-151,0.81
logistics và quản lý chuỗi cung ứng,Đại học Mở TP.HCM,OUM,2022,126-155,0.82
logistics và quản lý chuỗi cung ứng,Đại học Mở TP.HCM,OUM,2023,113-138,0.82
logistics và quản lý chuỗi cung ứng,Đại học Mở TP.HCM,OUM,2024,127-156,0.83
logistics và quản lý chuỗi cung ứng,Đại học Mở TP.HCM,OUM,2025,112-137,0.84
logistics và quản lý chuỗi cung ứng,Đại học Nguyễn Tất Thành,NTT,2020,108-132,0.8
logistics và quản lý chuỗi cung ứng,Đại học Nguyễn Tất Thành,NTT,2021,108-133,0.81
logistics và quản lý chuỗi cung ứng,Đại học Nguyễn Tất Thành,NTT,2022,116-141,0.82
logistics và quản lý chuỗi cung ứng,Đại học Nguyễn Tất Thành,NTT,2023,122-149,0.82
logistics và quản lý chuỗi cung ứng,Đại học Nguyễn Tất Thành,NTT,2024,113-138,0.83
logistics và quản lý chuỗi cung ứng,Đại học Nguyễn Tất Thành,NTT,2025,130-159,0.84
quản trị kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2020,82-101,0.77
quản trị kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2021,84-103,0.78
quản trị kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2022,88-107,0.79
quản trị kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2023,97-118,0.79
quản trị kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2024,96-117,0.8
quản trị kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2025,92-113,0.81
quản trị kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,90-110,0.77
quản trị kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,88-107,0.78
quản trị kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,97-118,0.79
quản trị kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,97-118,0.79
quản trị kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,104-127,0.8
quản trị kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,111-136,0.81
quản trị kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2020,130-159,0.77
quản trị kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2021,131-160,0.78
quản trị kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2022,144-176,0.79
quản trị kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2023,140-171,0.79
quản trị kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2024,156-191,0.8
quản trị kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2025,161-196,0.81
quản trị kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2020,136-167,0.77
quản trị kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2021,138-169,0.78
quản trị kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2022,140-171,0.79
quản trị kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2023,162-198,0.79
quản trị kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2024,147-180,0.8
quản trị kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2025,165-202,0.81
kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2020,66-81,0.65
kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2021,73-90,0.66
kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2022,70-85,0.66
kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2023,78-95,0.67
kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2024,74-91,0.68
kinh doanh quốc tế,Đại học Kinh tế TP.HCM,UEH,2025,71-86,0.68
kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,81-100,0.65
kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,86-105,0.66
kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,85-104,0.66
kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,86-105,0.67
kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,99-122,0.68
kinh doanh quốc tế,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,87-106,0.68
kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2020,131-160,0.65
kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2021,137-168,0.66
kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2022,142-173,0.66
kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2023,123-150,0.67
kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2024,135-165,0.68
kinh doanh quốc tế,Đại học Mở TP.HCM,OUM,2025,150-183,0.68
kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2020,135-166,0.65
kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2021,126-155,0.66
kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2022,129-158,0.66
kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2023,125-152,0.67
kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2024,123-150,0.68
kinh doanh quốc tế,Đại học Nguyễn Tất Thành,NTT,2025,128-157,0.68
quản trị nhân lực,Đại học Kinh tế TP.HCM,UEH,2020,67-82,0.65
quản trị nhân lực,Đại học Kinh tế TP.HCM,UEH,2021,75-92,0.66
quản trị nhân lực,Đại học Kinh tế TP.HCM,UEH,2022,70-85,0.66
quản trị nhân lực,Đại học Kinh tế TP.HCM,UEH,2023,76-93,0.67
quản trị nhân lực,Đại học Kinh tế TP.HCM,UEH,2024,72-88,0.68
quản trị nhân lực,Đại học Kinh tế TP.HCM,UEH,2025,70-85,0.68
quản trị nhân lực,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,114-139,0.65
quản trị nhân lực,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,126-154,0.66
quản trị nhân lực,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,135-165,0.66
quản trị nhân lực,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,123-150,0.67
quản trị nhân lực,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,140-171,0.68
quản trị nhân lực,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,139-170,0.68
quản trị nhân lực,Đại học Mở TP.HCM,OUM,2020,99-121,0.65
quản trị nhân lực,Đại học Mở TP.HCM,OUM,2021,107-130,0.66
quản trị nhân lực,Đại học Mở TP.HCM,OUM,2022,94-115,0.66
quản trị nhân lực,Đại học Mở TP.HCM,OUM,2023,99-121,0.67
quản trị nhân lực,Đại học Mở TP.HCM,OUM,2024,108-132,0.68
quản trị nhân lực,Đại học Mở TP.HCM,OUM,2025,104-127,0.68
quản trị nhân lực,Đại học Nguyễn Tất Thành,NTT,2020,148-181,0.65
quản trị nhân lực,Đại học Nguyễn Tất Thành,NTT,2021,159-194,0.66
quản trị nhân lực,Đại học Nguyễn Tất Thành,NTT,2022,162-198,0.66
quản trị nhân lực,Đại học Nguyễn Tất Thành,NTT,2023,162-199,0.67
quản trị nhân lực,Đại học Nguyễn Tất Thành,NTT,2024,145-178,0.68
quản trị nhân lực,Đại học Nguyễn Tất Thành,NTT,2025,144-177,0.68
sư phạm vật lý,Đại học Sư phạm TP.HCM,SPS,2020,81-100,0.62
sư phạm vật lý,Đại học Sư phạm TP.HCM,SPS,2021,75-92,0.63
sư phạm vật lý,Đại học Sư phạm TP.HCM,SPS,2022,88-107,0.63
sư phạm vật lý,Đại học Sư phạm TP.HCM,SPS,2023,90-110,0.64
sư phạm vật lý,Đại học Sư phạm TP.HCM,SPS,2024,82-101,0.64
sư phạm vật lý,Đại học Sư phạm TP.HCM,SPS,2025,92-113,0.65
sư phạm vật lý,Đại học Sài Gòn,SGU,2020,104-127,0.62
sư phạm vật lý,Đại học Sài Gòn,SGU,2021,96-117,0.63
sư phạm vật lý,Đại học Sài Gòn,SGU,2022,108-133,0.63
sư phạm vật lý,Đại học Sài Gòn,SGU,2023,108-132,0.64
sư phạm vật lý,Đại học Sài Gòn,SGU,2024,100-123,0.64
sư phạm vật lý,Đại học Sài Gòn,SGU,2025,113-138,0.65
sư phạm vật lý,Đại học Văn Lang,VLU,2020,131-160,0.62
sư phạm vật lý,Đại học Văn Lang,VLU,2021,132-161,0.63
sư phạm vật lý,Đại học Văn Lang,VLU,2022,140-171,0.63
sư phạm vật lý,Đại học Văn Lang,VLU,2023,140-171,0.64
sư phạm vật lý,Đại học Văn Lang,VLU,2024,145-178,0.64
sư phạm vật lý,Đại học Văn Lang,VLU,2025,133-162,0.65
sư phạm vật lý,Đại học Hutech,HTU,2020,150-183,0.62
sư phạm vật lý,Đại học Hutech,HTU,2021,153-187,0.63
sư phạm vật lý,Đại học Hutech,HTU,2022,140-171,0.63
sư phạm vật lý,Đại học Hutech,HTU,2023,143-174,0.64
sư phạm vật lý,Đại học Hutech,HTU,2024,135-166,0.64
sư phạm vật lý,Đại học Hutech,HTU,2025,141-172,0.65
sư phạm vật lý,Đại học Nguyễn Tất Thành,NTT,2020,153-188,0.62
sư phạm vật lý,Đại học Nguyễn Tất Thành,NTT,2021,161-196,0.63
sư phạm vật lý,Đại học Nguyễn Tất Thành,NTT,2022,149-182,0.63
sư phạm vật lý,Đại học Nguyễn Tất Thành,NTT,2023,173-212,0.64
sư phạm vật lý,Đại học Nguyễn Tất Thành,NTT,2024,174-213,0.64
sư phạm vật lý,Đại học Nguyễn Tất Thành,NTT,2025,185-226,0.65
sư phạm toán,Đại học Sư phạm TP.HCM,SPS,2020,78-95,0.62
sư phạm toán,Đại học Sư phạm TP.HCM,SPS,2021,72-88,0.63
sư phạm toán,Đại học Sư phạm TP.HCM,SPS,2022,78-95,0.63
sư phạm toán,Đại học Sư phạm TP.HCM,SPS,2023,82-101,0.64
sư phạm toán,Đại học Sư phạm TP.HCM,SPS,2024,72-88,0.64
sư phạm toán,Đại học Sư phạm TP.HCM,SPS,2025,76-93,0.65
sư phạm toán,Đại học Sài Gòn,SGU,2020,108-133,0.62
sư phạm toán,Đại học Sài Gòn,SGU,2021,122-149,0.63
sư phạm toán,Đại học Sài Gòn,SGU,2022,116-141,0.63
sư phạm toán,Đại học Sài Gòn,SGU,2023,118-145,0.64
sư phạm toán,Đại học Sài Gòn,SGU,2024,117-144,0.64
sư phạm toán,Đại học Sài Gòn,SGU,2025,122-149,0.65
sư phạm toán,Đại học Văn Lang,VLU,2020,129-158,0.62
sư phạm toán,Đại học Văn Lang,VLU,2021,128-157,0.63
sư phạm toán,Đại học Văn Lang,VLU,2022,144-176,0.63
sư phạm toán,Đại học Văn Lang,VLU,2023,152-185,0.64
sư phạm toán,Đại học Văn Lang,VLU,2024,138-169,0.64
sư phạm toán,Đại học Văn Lang,VLU,2025,146-179,0.65
sư phạm toán,Đại học Hutech,HTU,2020,149-182,0.62
sư phạm toán,Đại học Hutech,HTU,2021,178-217,0.63
sư phạm toán,Đại học Hutech,HTU,2022,184-225,0.63
sư phạm toán,Đại học Hutech,HTU,2023,159-194,0.64
sư phạm toán,Đại học Hutech,HTU,2024,180-221,0.64
sư phạm toán,Đại học Hutech,HTU,2025,193-236,0.65
sư phạm toán,Đại học Nguyễn Tất Thành,NTT,2020,159-194,0.62
sư phạm toán,Đại học Nguyễn Tất Thành,NTT,2021,162-199,0.63
sư phạm toán,Đại học Nguyễn Tất Thành,NTT,2022,163-200,0.63
sư phạm toán,Đại học Nguyễn Tất Thành,NTT,2023,173-212,0.64
sư phạm toán,Đại học Nguyễn Tất Thành,NTT,2024,154-189,0.64
sư phạm toán,Đại học Nguyễn Tất Thành,NTT,2025,160-195,0.65
sư phạm tiếng anh,Đại học Sư phạm TP.HCM,SPS,2020,66-81,0.62
sư phạm tiếng anh,Đại học Sư phạm TP.HCM,SPS,2021,66-81,0.63
sư phạm tiếng anh,Đại học Sư phạm TP.HCM,SPS,2022,74-91,0.63
sư phạm tiếng anh,Đại học Sư phạm TP.HCM,SPS,2023,71-86,0.64
sư phạm tiếng anh,Đại học Sư phạm TP.HCM,SPS,2024,72-88,0.64
sư phạm tiếng anh,Đại học Sư phạm TP.HCM,SPS,2025,68-83,0.65
sư phạm tiếng anh,Đại học Sài Gòn,SGU,2020,86-105,0.62
sư phạm tiếng anh,Đại học Sài Gòn,SGU,2021,92-113,0.63
sư phạm tiếng anh,Đại học Sài Gòn,SGU,2022,105-128,0.63
sư phạm tiếng anh,Đại học Sài Gòn,SGU,2023,100-123,0.64
sư phạm tiếng anh,Đại học Sài Gòn,SGU,2024,108-133,0.64
sư phạm tiếng anh,Đại học Sài Gòn,SGU,2025,99-121,0.65
sư phạm tiếng anh,Đại học Mở TP.HCM,OUM,2020,106-129,0.62
sư phạm tiếng anh,Đại học Mở TP.HCM,OUM,2021,92-113,0.63
sư phạm tiếng anh,Đại học Mở TP.HCM,OUM,2022,108-133,0.63
sư phạm tiếng anh,Đại học Mở TP.HCM,OUM,2023,100-123,0.64
sư phạm tiếng anh,Đại học Mở TP.HCM,OUM,2024,108-132,0.64
sư phạm tiếng anh,Đại học Mở TP.HCM,OUM,2025,102-125,0.65
sư phạm tiếng anh,Đại học Nguyễn Tất Thành,NTT,2020,123-150,0.62
sư phạm tiếng anh,Đại học Nguyễn Tất Thành,NTT,2021,117-143,0.63
sư phạm tiếng anh,Đại học Nguyễn Tất Thành,NTT,2022,109-134,0.63
sư phạm tiếng anh,Đại học Nguyễn Tất Thành,NTT,2023,124-151,0.64
sư phạm tiếng anh,Đại học Nguyễn Tất Thành,NTT,2024,123-150,0.64
sư phạm tiếng anh,Đại học Nguyễn Tất Thành,NTT,2025,114-139,0.65
sư phạm ngữ văn,Đại học Sư phạm TP.HCM,SPS,2020,60-73,0.62
sư phạm ngữ văn,Đại học Sư phạm TP.HCM,SPS,2021,73-90,0.63
sư phạm ngữ văn,Đại học Sư phạm TP.HCM,SPS,2022,74-91,0.63
sư phạm ngữ văn,Đại học Sư phạm TP.HCM,SPS,2023,76-93,0.64
sư phạm ngữ văn,Đại học Sư phạm TP.HCM,SPS,2024,66-81,0.64
sư phạm ngữ văn,Đại học Sư phạm TP.HCM,SPS,2025,72-88,0.65
sư phạm ngữ văn,Đại học Sài Gòn,SGU,2020,117-143,0.62
sư phạm ngữ văn,Đại học Sài Gòn,SGU,2021,136-167,0.63
sư phạm ngữ văn,Đại học Sài Gòn,SGU,2022,144-177,0.63
sư phạm ngữ văn,Đại học Sài Gòn,SGU,2023,143-174,0.64
sư phạm ngữ văn,Đại học Sài Gòn,SGU,2024,141-172,0.64
sư phạm ngữ văn,Đại học Sài Gòn,SGU,2025,132-161,0.65
sư phạm ngữ văn,Đại học Văn Lang,VLU,2020,117-144,0.62
sư phạm ngữ văn,Đại học Văn Lang,VLU,2021,113-138,0.63
sư phạm ngữ văn,Đại học Văn Lang,VLU,2022,135-166,0.63
sư phạm ngữ văn,Đại học Văn Lang,VLU,2023,135-166,0.64
sư phạm ngữ văn,Đại học Văn Lang,VLU,2024,123-150,0.64
sư phạm ngữ văn,Đại học Văn Lang,VLU,2025,140-171,0.65
sư phạm ngữ văn,Đại học Hutech,HTU,2020,136-167,0.62
sư phạm ngữ văn,Đại học Hutech,HTU,2021,137-168,0.63
sư phạm ngữ văn,Đại học Hutech,HTU,2022,148-181,0.63
sư phạm ngữ văn,Đại học Hutech,HTU,2023,158-193,0.64
sư phạm ngữ văn,Đại học Hutech,HTU,2024,142-173,0.64
sư phạm ngữ văn,Đại học Hutech,HTU,2025,167-204,0.65
sư phạm ngữ văn,Đại học Nguyễn Tất Thành,NTT,2020,132-161,0.62
sư phạm ngữ văn,Đại học Nguyễn Tất Thành,NTT,2021,141-172,0.63
sư phạm ngữ văn,Đại học Nguyễn Tất Thành,NTT,2022,148-181,0.63
sư phạm ngữ văn,Đại học Nguyễn Tất Thành,NTT,2023,139-170,0.64
sư phạm ngữ văn,Đại học Nguyễn Tất Thành,NTT,2024,147-180,0.64
sư phạm ngữ văn,Đại học Nguyễn Tất Thành,NTT,2025,164-201,0.65
giáo dục tiểu học,Đại học Sư phạm TP.HCM,SPS,2020,83-102,0.65
giáo dục tiểu học,Đại học Sư phạm TP.HCM,SPS,2021,80-97,0.66
giáo dục tiểu học,Đại học Sư phạm TP.HCM,SPS,2022,78-95,0.66
giáo dục tiểu học,Đại học Sư phạm TP.HCM,SPS,2023,86-105,0.67
giáo dục tiểu học,Đại học Sư phạm TP.HCM,SPS,2024,88-107,0.68
giáo dục tiểu học,Đại học Sư phạm TP.HCM,SPS,2025,90-110,0.68
giáo dục tiểu học,Đại học Sài Gòn,SGU,2020,98-119,0.65
giáo dục tiểu học,Đại học Sài Gòn,SGU,2021,89-108,0.66
giáo dục tiểu học,Đại học Sài Gòn,SGU,2022,103-126,0.66
giáo dục tiểu học,Đại học Sài Gòn,SGU,2023,104-127,0.67
giáo dục tiểu học,Đại học Sài Gòn,SGU,2024,100-123,0.68
giáo dục tiểu học,Đại học Sài Gòn,SGU,2025,110-135,0.68
giáo dục tiểu học,Đại học Văn Lang,VLU,2020,135-165,0.65
giáo dục tiểu học,Đại học Văn Lang,VLU,2021,131-160,0.66
giáo dục tiểu học,Đại học Văn Lang,VLU,2022,133-162,0.66
giáo dục tiểu học,Đại học Văn Lang,VLU,2023,149-182,0.67
giáo dục tiểu học,Đại học Văn Lang,VLU,2024,132-161,0.68
giáo dục tiểu học,Đại học Văn Lang,VLU,2025,144-177,0.68
giáo dục tiểu học,Đại học Hutech,HTU,2020,150-183,0.65
giáo dục tiểu học,Đại học Hutech,HTU,2021,178-217,0.66
giáo dục tiểu học,Đại học Hutech,HTU,2022,158-193,0.66
giáo dục tiểu học,Đại học Hutech,HTU,2023,154-189,0.67
giáo dục tiểu học,Đại học Hutech,HTU,2024,162-198,0.68
giáo dục tiểu học,Đại học Hutech,HTU,2025,167-204,0.68
giáo dục tiểu học,Đại học Nguyễn Tất Thành,NTT,2020,128-157,0.65
giáo dục tiểu học,Đại học Nguyễn Tất Thành,NTT,2021,141-172,0.66
giáo dục tiểu học,Đại học Nguyễn Tất Thành,NTT,2022,138-169,0.66
giáo dục tiểu học,Đại học Nguyễn Tất Thành,NTT,2023,139-170,0.67
giáo dục tiểu học,Đại học Nguyễn Tất Thành,NTT,2024,163-200,0.68
giáo dục tiểu học,Đại học Nguyễn Tất Thành,NTT,2025,142-173,0.68
sư phạm hóa học,Đại học Sư phạm TP.HCM,SPS,2020,90-110,0.62
sư phạm hóa học,Đại học Sư phạm TP.HCM,SPS,2021,77-94,0.63
sư phạm hóa học,Đại học Sư phạm TP.HCM,SPS,2022,83-102,0.63
sư phạm hóa học,Đại học Sư phạm TP.HCM,SPS,2023,84-103,0.64
sư phạm hóa học,Đại học Sư phạm TP.HCM,SPS,2024,93-114,0.64
sư phạm hóa học,Đại học Sư phạm TP.HCM,SPS,2025,92-113,0.65
sư phạm hóa học,Đại học Sài Gòn,SGU,2020,106-129,0.62
sư phạm hóa học,Đại học Sài Gòn,SGU,2021,114-139,0.63
sư phạm hóa học,Đại học Sài Gòn,SGU,2022,120-147,0.63
sư phạm hóa học,Đại học Sài Gòn,SGU,2023,129-158,0.64
sư phạm hóa học,Đại học Sài Gòn,SGU,2024,131-160,0.64
sư phạm hóa học,Đại học Sài Gòn,SGU,2025,111-136,0.65
sư phạm hóa học,Đại học Văn Lang,VLU,2020,91-112,0.62
sư phạm hóa học,Đại học Văn Lang,VLU,2021,98-119,0.63
sư phạm hóa học,Đại học Văn Lang,VLU,2022,104-127,0.63
sư phạm hóa học,Đại học Văn Lang,VLU,2023,109-134,0.64
sư phạm hóa học,Đại học Văn Lang,VLU,2024,111-136,0.64
sư phạm hóa học,Đại học Văn Lang,VLU,2025,118-145,0.65
sư phạm hóa học,Đại học Hutech,HTU,2020,165-202,0.62
sư phạm hóa học,Đại học Hutech,HTU,2021,159-194,0.63
sư phạm hóa học,Đại học Hutech,HTU,2022,186-227,0.63
sư phạm hóa học,Đại học Hutech,HTU,2023,157-192,0.64
sư phạm hóa học,Đại học Hutech,HTU,2024,176-215,0.64
sư phạm hóa học,Đại học Hutech,HTU,2025,191-234,0.65
sư phạm hóa học,Đại học Nguyễn Tất Thành,NTT,2020,165-202,0.62
sư phạm hóa học,Đại học Nguyễn Tất Thành,NTT,2021,148-181,0.63
sư phạm hóa học,Đại học Nguyễn Tất Thành,NTT,2022,163-200,0.63
sư phạm hóa học,Đại học Nguyễn Tất Thành,NTT,2023,147-180,0.64
sư phạm hóa học,Đại học Nguyễn Tất Thành,NTT,2024,179-218,0.64
sư phạm hóa học,Đại học Nguyễn Tất Thành,NTT,2025,176-215,0.65
quản lý giáo dục,Đại học Sư phạm TP.HCM,SPS,2020,75-92,0.65
quản lý giáo dục,Đại học Sư phạm TP.HCM,SPS,2021,75-92,0.66
quản lý giáo dục,Đại học Sư phạm TP.HCM,SPS,2022,67-82,0.66
quản lý giáo dục,Đại học Sư phạm TP.HCM,SPS,2023,79-96,0.67
quản lý giáo dục,Đại học Sư phạm TP.HCM,SPS,2024,82-101,0.68
quản lý giáo dục,Đại học Sư phạm TP.HCM,SPS,2025,70-85,0.68
quản lý giáo dục,Đại học Sài Gòn,SGU,2020,114-139,0.65
quản lý giáo dục,Đại học Sài Gòn,SGU,2021,119-146,0.66
quản lý giáo dục,Đại học Sài Gòn,SGU,2022,123-150,0.66
quản lý giáo dục,Đại học Sài Gòn,SGU,2023,121-148,0.67
quản lý giáo dục,Đại học Sài Gòn,SGU,2024,108-132,0.68
quản lý giáo dục,Đại học Sài Gòn,SGU,2025,118-145,0.68
quản lý giáo dục,Đại học Văn Lang,VLU,2020,144-177,0.65
quản lý giáo dục,Đại học Văn Lang,VLU,2021,141-172,0.66
quản lý giáo dục,Đại học Văn Lang,VLU,2022,130-159,0.66
quản lý giáo dục,Đại học Văn Lang,VLU,2023,138-169,0.67
quản lý giáo dục,Đại học Văn Lang,VLU,2024,149-182,0.68
quản lý giáo dục,Đại học Văn Lang,VLU,2025,134-163,0.68
quản lý giáo dục,Đại học Hutech,HTU,2020,163-200,0.65
quản lý giáo dục,Đại học Hutech,HTU,2021,175-214,0.66
quản lý giáo dục,Đại học Hutech,HTU,2022,180-221,0.66
quản lý giáo dục,Đại học Hutech,HTU,2023,197-240,0.67
quản lý giáo dục,Đại học Hutech,HTU,2024,177-216,0.68
quản lý giáo dục,Đại học Hutech,HTU,2025,168-205,0.68
quản lý giáo dục,Đại học Nguyễn Tất Thành,NTT,2020,174-213,0.65
quản lý giáo dục,Đại học Nguyễn Tất Thành,NTT,2021,172-211,0.66
quản lý giáo dục,Đại học Nguyễn Tất Thành,NTT,2022,188-229,0.66
quản lý giáo dục,Đại học Nguyễn Tất Thành,NTT,2023,178-217,0.67
quản lý giáo dục,Đại học Nguyễn Tất Thành,NTT,2024,178-217,0.68
quản lý giáo dục,Đại học Nguyễn Tất Thành,NTT,2025,194-237,0.68
thiết kế đồ họa,Đại học Mỹ thuật TP.HCM,MTA,2020,85-104,0.72
thiết kế đồ họa,Đại học Mỹ thuật TP.HCM,MTA,2021,100-123,0.73
thiết kế đồ họa,Đại học Mỹ thuật TP.HCM,MTA,2022,97-118,0.73
thiết kế đồ họa,Đại học Mỹ thuật TP.HCM,MTA,2023,88-107,0.74
thiết kế đồ họa,Đại học Mỹ thuật TP.HCM,MTA,2024,90-110,0.75
thiết kế đồ họa,Đại học Mỹ thuật TP.HCM,MTA,2025,92-113,0.76
thiết kế đồ họa,Đại học Văn Lang,VLU,2020,103-126,0.72
thiết kế đồ họa,Đại học Văn Lang,VLU,2021,120-147,0.73
thiết kế đồ họa,Đại học Văn Lang,VLU,2022,124-151,0.73
thiết kế đồ họa,Đại học Văn Lang,VLU,2023,109-134,0.74
thiết kế đồ họa,Đại học Văn Lang,VLU,2024,115-140,0.75
thiết kế đồ họa,Đại học Văn Lang,VLU,2025,130-159,0.76
thiết kế đồ họa,Đại học Hoa Sen,HSU,2020,76-93,0.72
thiết kế đồ họa,Đại học Hoa Sen,HSU,2021,81-99,0.73
thiết kế đồ họa,Đại học Hoa Sen,HSU,2022,79-96,0.73
thiết kế đồ họa,Đại học Hoa Sen,HSU,2023,95-116,0.74
thiết kế đồ họa,Đại học Hoa Sen,HSU,2024,99-121,0.75
thiết kế đồ họa,Đại học Hoa Sen,HSU,2025,98-119,0.76
thiết kế đồ họa,Đại học Hutech,HTU,2020,109-134,0.72
thiết kế đồ họa,Đại học Hutech,HTU,2021,121-148,0.73
thiết kế đồ họa,Đại học Hutech,HTU,2022,117-143,0.73
thiết kế đồ họa,Đại học Hutech,HTU,2023,132-161,0.74
thiết kế đồ họa,Đại học Hutech,HTU,2024,122-149,0.75
thiết kế đồ họa,Đại học Hutech,HTU,2025,129-158,0.76
thiết kế đồ họa,Đại học Nguyễn Tất Thành,NTT,2020,189-231,0.72
thiết kế đồ họa,Đại học Nguyễn Tất Thành,NTT,2021,174-213,0.73
thiết kế đồ họa,Đại học Nguyễn Tất Thành,NTT,2022,182-223,0.73
thiết kế đồ họa,Đại học Nguyễn Tất Thành,NTT,2023,178-217,0.74
thiết kế đồ họa,Đại học Nguyễn Tất Thành,NTT,2024,182-223,0.75
thiết kế đồ họa,Đại học Nguyễn Tất Thành,NTT,2025,180-221,0.76
thiết kế thời trang,Đại học Mỹ thuật TP.HCM,MTA,2020,64-79,0.65
thiết kế thời trang,Đại học Mỹ thuật TP.HCM,MTA,2021,72-89,0.66
thiết kế thời trang,Đại học Mỹ thuật TP.HCM,MTA,2022,69-84,0.66
thiết kế thời trang,Đại học Mỹ thuật TP.HCM,MTA,2023,76-93,0.67
thiết kế thời trang,Đại học Mỹ thuật TP.HCM,MTA,2024,71-86,0.68
thiết kế thời trang,Đại học Mỹ thuật TP.HCM,MTA,2025,81-99,0.68
thiết kế thời trang,Đại học Văn Lang,VLU,2020,116-141,0.65
thiết kế thời trang,Đại học Văn Lang,VLU,2021,131-160,0.66
thiết kế thời trang,Đại học Văn Lang,VLU,2022,128-157,0.66
thiết kế thời trang,Đại học Văn Lang,VLU,2023,122-149,0.67
thiết kế thời trang,Đại học Văn Lang,VLU,2024,135-166,0.68
thiết kế thời trang,Đại học Văn Lang,VLU,2025,140-171,0.68
thiết kế thời trang,Đại học Hoa Sen,HSU,2020,113-138,0.65
thiết kế thời trang,Đại học Hoa Sen,HSU,2021,138-169,0.66
thiết kế thời trang,Đại học Hoa Sen,HSU,2022,126-155,0.66
thiết kế thời trang,Đại học Hoa Sen,HSU,2023,140-171,0.67
thiết kế thời trang,Đại học Hoa Sen,HSU,2024,141-172,0.68
